Rank,Country,"Production (Metric Tonnes, 2023)",YoY Change
1,India,"2,039,000",+1.99%
2,Thailand,"395,140",+2.68%
3,Ethiopia,"362,110",+3.31%
4,China,"344,560",+1.34%
5,Côte d'Ivoire,"201,530",+3.32%
6,Bangladesh,"155,420",+1.34%
7,Myanmar,"144,290",+1.51%
8,Ghana,"139,280",+2.35%
9,Pakistan,"107,870",-1.72%
10,Vietnam,"106,470",+1.11%
